,SMILES,Source,Target,cluster,cluster_target,active
0,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
1,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
2,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2.O.O.O.O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
3,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
4,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
5,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
6,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
7,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C.[K+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
8,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C.CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
9,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C.CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2.O.O.O.O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
10,CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)CNCCNCC4(CCCC5(C4CCC6=C5C=CC(=C6)C(C)C)C)C)C.CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C.CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
11,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C.CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C.[Ca+2],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
12,CCC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)O)OC3=CC=CC=C3,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
13,CCC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)[O-])OC3=CC=CC=C3.[K+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
14,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=[N+]=[N-])C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
15,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=[N+]=[N-])C(=O)[O-])C.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
16,CC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)O)OC3=CC=CC=C3,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
17,CC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)[O-])OC3=CC=CC=C3.[K+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
18,CC(=O)OCOC(=O)C1C(SC2N1C(=O)C2NC(=O)CC3=CC=CC=C3)(C)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
19,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC(=C(C=C3)Cl)Cl)OC)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
20,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC(=C(C=C3)Cl)Cl)OC)C(=O)[O-])C.[K+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
21,CCN(CC)CCOC(=O)C1C(SC2N1C(=O)C2NC(=O)CC3=CC=CC=C3)(C)C.I,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
22,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
23,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
24,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
25,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].O.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
26,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O.CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
27,CC1(C(N2C(S1)C(C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)[O-])C.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
28,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
29,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
30,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
31,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
32,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Mg+2],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
33,CCOC1=C(C2=CC=CC=C2C=C1)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
34,CCOC1=C(C2=CC=CC=C2C=C1)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
35,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
36,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C.O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
37,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
38,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C.CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
39,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
40,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C.Cl,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
41,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C.CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C.C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
42,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O.CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
43,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
44,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)[O-])C(=O)[O-])C.[Na+].[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
45,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)[O-])C(=O)O)C.[K+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
46,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
47,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)[O-])C.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
48,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC5=C(CCC5)C=C4)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
49,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC5=C(CCC5)C=C4)C(=O)[O-])C.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
50,CCOC(=O)OC(C)OC(=O)C1C(SC2N1C(=O)C2NC(=O)C(C3=CC=CC=C3)N)(C)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
51,CCOC(=O)OC(C)OC(=O)C1C(SC2N1C(=O)C2NC(=O)C(C3=CC=CC=C3)N)(C)C.Cl,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
52,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CCC=CC3)N)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
53,CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)OCOC(=O)C(C)(C)C)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
54,CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)OCOC(=O)C(C)(C)C)C.Cl,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
55,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
56,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)[O-])C.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
57,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCN(C4=O)S(=O)(=O)C)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
58,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCN(C4=O)S(=O)(=O)C)C(=O)[O-])C.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
59,CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
60,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
61,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
62,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CSC=C3)C(=O)O)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
63,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CSC=C3)C(=O)[O-])C(=O)[O-])C.[Na+].[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
64,CC1=CC=C(C=C1)OC(=O)C(C2=CSC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
65,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CSC=C3)C(=O)O)C(=O)[O-])C.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
66,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=C)C(=O)O)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
67,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=C)C(=O)[O-])C.[Na+],XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
68,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OC4C5=CC=CC=C5C(=O)O4)C,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
69,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OC4C5=CC=CC=C5C(=O)O4)C.Cl,XG Training,penicillin binding protein,87.0,Penicillin binding protein,True
